,data,dia_semana,feriado,festas,feriado - dia anterior,feriado - 2 dias anteriores,feriado - dia seguinte,feriado - daqui a 2 dias,festas - dia anterior,festas - 2 dias anteriores,festas - dia seguinte,festas - daqui a 2 dias
821,2020-04-01,Wednesday,,,,,,,,,,
822,2020-04-02,Thursday,,,,,,,,,,
823,2020-04-03,Friday,,,,,,,,,,
824,2020-04-04,Saturday,,,,,,,,,,
825,2020-04-05,Sunday,,,,,,,,,,
826,2020-04-06,Monday,,,,,,,,,,
827,2020-04-07,Tuesday,,,,,,,,,,Endoencas
828,2020-04-08,Wednesday,,,,,,Sexta Feira Santa,,,Endoencas,
829,2020-04-09,Thursday,,Endoencas,,,Sexta Feira Santa,,,,,
830,2020-04-10,Friday,Sexta Feira Santa,,,,,Domingo de Pascoa,Endoencas,,,
831,2020-04-11,Saturday,,,Sexta Feira Santa,,Domingo de Pascoa,Segunda-feira de Pascoa,,Endoencas,,
832,2020-04-12,Sunday,Domingo de Pascoa,,,Sexta Feira Santa,Segunda-feira de Pascoa,,,,,
833,2020-04-13,Monday,Segunda-feira de Pascoa,,Domingo de Pascoa,,,,,,,
834,2020-04-14,Tuesday,,,Segunda-feira de Pascoa,Domingo de Pascoa,,,,,,
835,2020-04-15,Wednesday,,,,Segunda-feira de Pascoa,,,,,,
836,2020-04-16,Thursday,,,,,,,,,,
837,2020-04-17,Friday,,,,,,,,,,
838,2020-04-18,Saturday,,,,,,,,,,
839,2020-04-19,Sunday,,,,,,,,,,
840,2020-04-20,Monday,,,,,,,,,,
841,2020-04-21,Tuesday,,,,,,,,,,
842,2020-04-22,Wednesday,,,,,,,,,,
843,2020-04-23,Thursday,,,,,,Dia da liberdade,,,,
844,2020-04-24,Friday,,,,,Dia da liberdade,,,,,
845,2020-04-25,Saturday,Dia da liberdade,,,,,,,,,
846,2020-04-26,Sunday,,,Dia da liberdade,,,,,,,
847,2020-04-27,Monday,,,,Dia da liberdade,,,,,,
848,2020-04-28,Tuesday,,,,,,,,,,
849,2020-04-29,Wednesday,,,,,,Dia do Trabalhador,,,,
850,2020-04-30,Thursday,,,,,Dia do Trabalhador,,,,,
851,2020-05-01,Friday,Dia do Trabalhador,,,,,,,,,
852,2020-05-02,Saturday,,,Dia do Trabalhador,,,,,,,
853,2020-05-03,Sunday,,,,Dia do Trabalhador,,,,,,
854,2020-05-04,Monday,,,,,,,,,,
855,2020-05-05,Tuesday,,,,,,,,,,
856,2020-05-06,Wednesday,,,,,,,,,,
857,2020-05-07,Thursday,,,,,,,,,,
858,2020-05-08,Friday,,,,,,,,,,
859,2020-05-09,Saturday,,,,,,,,,,
860,2020-05-10,Sunday,,,,,,,,,,
861,2020-05-11,Monday,,,,,,,,,,
862,2020-05-12,Tuesday,,,,,,,,,,
863,2020-05-13,Wednesday,,,,,,,,,,
864,2020-05-14,Thursday,,,,,,,,,,
865,2020-05-15,Friday,,,,,,,,,,
866,2020-05-16,Saturday,,,,,,,,,,
867,2020-05-17,Sunday,,,,,,,,,,
868,2020-05-18,Monday,,,,,,,,,,
869,2020-05-19,Tuesday,,,,,,,,,,
870,2020-05-20,Wednesday,,,,,,,,,,
871,2020-05-21,Thursday,,,,,,,,,,
872,2020-05-22,Friday,,,,,,,,,,
873,2020-05-23,Saturday,,,,,,,,,,
874,2020-05-24,Sunday,,,,,,,,,,
875,2020-05-25,Monday,,,,,,,,,,
876,2020-05-26,Tuesday,,,,,,,,,,
877,2020-05-27,Wednesday,,,,,,,,,,
878,2020-05-28,Thursday,,,,,,,,,,
879,2020-05-29,Friday,,,,,,,,,,
880,2020-05-30,Saturday,,,,,,,,,,
881,2020-05-31,Sunday,,,,,,,,,,
882,2020-06-01,Monday,,,,,,,,,,
883,2020-06-02,Tuesday,,,,,,,,,,
884,2020-06-03,Wednesday,,,,,,,,,,
885,2020-06-04,Thursday,,,,,,,,,,
886,2020-06-05,Friday,,,,,,,,,,
887,2020-06-06,Saturday,,,,,,,,,,
888,2020-06-07,Sunday,,,,,,,,,,
889,2020-06-08,Monday,,,,,,Dia de Portugal,,,,Festas do Corpo de Deus
890,2020-06-09,Tuesday,,,,,Dia de Portugal,Corpo de Deus,,,Festas do Corpo de Deus,Festas do Corpo de Deus
891,2020-06-10,Wednesday,Dia de Portugal,Festas do Corpo de Deus,,,Corpo de Deus,,,,Festas do Corpo de Deus,
892,2020-06-11,Thursday,Corpo de Deus,Festas do Corpo de Deus,Dia de Portugal,,,,Festas do Corpo de Deus,,,
893,2020-06-12,Friday,,,Corpo de Deus,Dia de Portugal,,,Festas do Corpo de Deus,Festas do Corpo de Deus,,
894,2020-06-13,Saturday,,,,Corpo de Deus,,,,Festas do Corpo de Deus,,
895,2020-06-14,Sunday,,,,,,,,,,
896,2020-06-15,Monday,,,,,,,,,,
897,2020-06-16,Tuesday,,,,,,,,,,
898,2020-06-17,Wednesday,,,,,,,,,,
899,2020-06-18,Thursday,,,,,,,,,,
900,2020-06-19,Friday,,,,,,,,,,
901,2020-06-20,Saturday,,,,,,,,,,
902,2020-06-21,Sunday,,,,,,,,,,
903,2020-06-22,Monday,,,,,,,,,,
904,2020-06-23,Tuesday,,,,,,,,,,
905,2020-06-24,Wednesday,,,,,,,,,,
906,2020-06-25,Thursday,,,,,,,,,,
907,2020-06-26,Friday,,,,,,,,,,
908,2020-06-27,Saturday,,,,,,,,,,
909,2020-06-28,Sunday,,,,,,,,,,
910,2020-06-29,Monday,,,,,,,,,,
911,2020-06-30,Tuesday,,,,,,,,,,
912,2020-07-01,Wednesday,,,,,,,,,,
913,2020-07-02,Thursday,,,,,,,,,,
914,2020-07-03,Friday,,,,,,,,,,
915,2020-07-04,Saturday,,,,,,,,,,
916,2020-07-05,Sunday,,,,,,,,,,
917,2020-07-06,Monday,,,,,,,,,,
918,2020-07-07,Tuesday,,,,,,,,,,
919,2020-07-08,Wednesday,,,,,,,,,,
